subject, stim id, adj, adj class, mod, mod class, rating
0,346,12,2,8,1,8
0,462,3,2,11,0,9
0,451,22,2,0,0,5
0,283,35,3,2,1,8
0,206,27,3,9,1,8
0,144,25,3,13,2,3
0,553,5,3,8,1,8
0,575,41,2,10,3,8
0,508,3,2,0,0,8
0,399,31,2,9,1,6
0,613,2,1,4,3,3
0,146,14,0,5,3,9
0,533,19,3,10,3,7
0,93,21,1,11,0,8
0,115,13,1,0,0,6
0,168,4,2,11,0,7
0,416,8,1,1,0,9
0,242,5,3,11,0,6
0,153,28,0,8,1,8
0,70,30,3,2,1,9
0,290,17,3,7,1,8
0,362,43,0,5,3,7
0,112,44,3,9,1,9
0,628,32,1,4,3,2
0,608,23,2,5,3,8
0,315,25,3,12,1,9
0,474,27,3,3,2,5
0,528,7,1,10,3,8
0,507,12,2,13,2,2
0,605,21,1,7,1,7
0,473,21,1,9,1,9
0,615,24,3,13,2,4
0,516,45,2,8,1,9
0,37,14,0,3,2,9
0,461,37,3,8,1,9
0,134,20,0,12,1,9
0,564,42,3,4,3,3
0,454,3,2,5,3,8
0,160,7,1,4,3,5
0,541,31,2,13,2,4
0,247,21,1,4,3,3
0,77,4,2,9,1,6
0,92,45,2,6,0,3
0,180,7,1,0,0,9
0,47,34,1,6,0,8
0,446,36,3,10,3,4
0,50,37,3,0,0,6
0,90,0,0,3,2,2
0,131,18,1,11,0,9
0,150,10,2,4,3,2
0,600,29,0,3,2,6
0,497,19,3,8,1,9
0,167,47,0,6,0,6
0,275,43,0,7,1,8
0,675,10,2,1,0,7
0,136,38,1,11,0,8
0,48,18,1,10,3,4
0,370,9,0,0,0,7
0,357,23,2,3,2,5
0,369,3,2,4,3,2
0,592,45,2,0,0,8
0,51,34,1,2,1,9
0,484,39,3,5,3,4
0,232,27,3,1,0,4
0,126,35,3,9,1,8
0,358,32,1,9,1,8
0,334,13,1,13,2,3
0,248,2,1,11,0,7
0,152,8,1,13,2,2
0,236,25,3,3,2,2
0,629,0,0,0,0,8
0,581,12,2,11,0,6
0,352,18,1,7,1,8
0,574,48,0,4,3,4
0,624,35,3,7,1,8
0,403,31,2,3,2,3
0,319,31,2,1,0,7
0,450,17,3,1,0,5
0,356,8,1,6,0,9
0,246,39,3,10,3,6
0,330,13,1,1,0,9
0,435,28,0,7,1,6
0,434,1,1,11,0,8
0,17,19,3,3,2,2
0,237,29,0,10,3,8
0,203,13,1,4,3,3
0,500,46,3,12,1,8
0,312,39,3,9,1,7
0,646,21,1,2,1,6
0,241,9,0,11,0,7
0,208,15,3,5,3,3
0,441,1,1,13,2,4
0,254,10,2,7,1,9
0,354,19,3,2,1,8
0,658,34,1,13,2,2
0,179,22,2,6,0,5
0,53,10,2,3,2,5
0,499,35,3,0,0,6
1,437,26,3,4,3,1
1,255,10,2,11,0,9
1,600,29,0,3,2,8
1,2,7,1,1,0,9
1,441,1,1,13,2,3
1,191,14,0,8,1,9
1,320,23,2,6,0,3
1,395,3,2,3,2,9
1,561,30,3,12,1,9
1,223,11,3,3,2,3
1,683,0,0,8,1,9
1,553,5,3,8,1,7
1,146,14,0,5,3,8
1,249,44,3,12,1,9
1,597,0,0,5,3,6
1,19,32,1,11,0,7
1,211,21,1,13,2,3
1,206,27,3,9,1,8
1,430,37,3,9,1,9
1,576,38,1,5,3,5
1,0,31,2,2,1,9
1,62,21,1,8,1,9
1,153,28,0,8,1,9
1,546,27,3,0,0,3
1,89,3,2,1,0,9
1,151,18,1,6,0,9
